,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
37,Miles Sanders,PHI,RB,22,16,11,0,0,0,0,179,818,63,50,509,10.18,2,1,0,0,0,818,3,179,509,3,216.7
38,Allen Robinson,CHI,WR,26,16,15,0,0,0,0,1,2,154,98,1147,11.7,0,0,0,0,0,2,0,1,1147,7,254.9
39,Julian Edelman,NWE,WR,33,16,13,2,2,47,0,8,27,153,100,1117,11.17,3,1,47,1,2,27,0,8,1117,6,254.28
40,Alvin Kamara,NOR,RB,24,14,9,1,1,13,0,171,797,97,81,533,6.58,4,1,13,0,1,797,5,171,533,1,248.52
41,Marlon Mack,IND,RB,23,14,12,0,0,0,0,247,1091,17,14,82,5.86,0,0,0,0,0,1091,8,247,82,0,179.3
42,Jarvis Landry,CLE,WR,27,16,16,0,0,0,0,1,10,138,83,1174,14.14,0,0,0,0,0,10,0,1,1174,6,237.4
43,Josh Allen,BUF,QB,23,16,16,271,461,3089,9,109,510,0,0,0,0,14,4,3089,20,461,510,9,109,0,0,282.56
44,Tyler Lockett,SEA,WR,27,16,16,0,0,0,0,4,-5,110,82,1057,12.89,1,0,0,0,0,-5,0,4,1057,8,235.2
45,DJ Chark,JAX,WR,23,15,14,0,0,0,0,2,20,118,73,1008,13.81,0,0,0,0,0,20,0,2,1008,8,223.8
46,Kenyan Drake,2TM,RB,25,14,10,0,0,0,0,170,817,68,50,345,6.9,2,1,0,0,0,817,8,170,345,0,212.2
47,Patrick Mahomes,KAN,QB,24,14,14,319,484,4031,5,43,218,0,0,0,0,3,2,4031,26,484,218,2,43,0,0,285.04
48,Phillip Lindsay,DEN,RB,25,16,16,0,0,0,0,224,1011,48,35,196,5.6,0,0,0,0,0,1011,7,224,196,0,197.7
49,Kyler Murray,ARI,QB,22,16,16,349,542,3722,12,93,544,0,0,0,0,5,2,3722,20,542,544,4,93,0,0,279.28
50,Courtland Sutton,DEN,WR,24,16,14,1,1,38,0,3,17,124,72,1112,15.44,2,0,38,0,1,17,0,3,1112,6,222.42
51,Stefon Diggs,MIN,WR,26,15,15,0,1,0,0,5,61,94,63,1130,17.94,4,3,0,0,1,61,0,5,1130,6,212.1
52,John Brown,BUF,WR,29,15,15,1,1,28,0,2,7,115,72,1060,14.72,0,0,28,1,1,7,0,2,1060,6,219.82
53,Hunter Henry,LAC,TE,25,12,12,0,0,0,0,0,0,76,55,652,11.85,1,1,0,0,0,0,0,0,652,5,148.2
54,Michael Gallup,DAL,WR,23,14,12,0,0,0,0,0,0,113,66,1107,16.77,0,0,0,0,0,0,0,0,1107,6,212.7
55,Aaron Rodgers,GNB,QB,36,16,16,353,569,4002,4,46,183,0,0,0,0,4,4,4002,26,569,183,1,46,0,0,272.38
56,Tyler Higbee,LAR,TE,26,15,15,0,0,0,0,0,0,89,69,734,10.64,0,0,0,0,0,0,0,0,734,3,160.4
57,D.J. Moore,CAR,WR,22,15,15,0,0,0,0,6,40,135,87,1175,13.51,2,1,0,0,0,40,0,6,1175,4,230.5
58,Robert Woods,LAR,WR,27,15,15,0,0,0,0,17,115,139,90,1134,12.6,0,0,0,0,0,115,1,17,1134,2,232.9
59,Carson Wentz,PHI,QB,27,16,16,388,607,4039,7,62,243,0,0,0,0,16,7,4039,27,607,243,1,62,0,0,271.86
60,Raheem Mostert,SFO,RB,27,16,0,0,0,0,0,137,772,22,14,180,12.86,2,2,0,0,0,772,8,137,180,2,165.2
61,Dallas Goedert,PHI,TE,24,15,9,0,0,0,0,0,0,87,58,607,10.47,2,2,0,0,0,0,0,0,607,5,144.7
62,Le'Veon Bell,NYJ,RB,27,15,15,0,0,0,0,245,789,78,66,461,6.98,1,1,0,0,0,789,3,245,461,1,213
63,Mike Gesicki,MIA,TE,24,16,5,0,0,0,0,0,0,89,51,570,11.18,1,1,0,0,0,0,0,0,570,5,136
64,Calvin Ridley,ATL,WR,25,13,10,0,0,0,0,2,34,93,63,866,13.75,0,0,0,0,0,34,0,2,866,7,195
65,David Montgomery,CHI,RB,22,16,8,0,0,0,0,242,889,35,25,185,7.4,2,2,0,0,0,889,6,242,185,1,170.4
66,Terry McLaurin,WAS,WR,24,14,14,0,0,0,0,0,0,93,58,919,15.84,0,0,0,0,0,0,0,0,919,7,191.9
