,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
391,David Njoku,CLE,TE,23,4,1,0,0,0,0,0,0,10,5,41,8.2,0,0,0,0,0,0,0,0,41,1,15.1
392,Danny Vitale,GNB,RB,26,15,4,0,0,0,0,1,3,12,7,97,13.86,0,0,0,0,0,3,0,1,97,0,17
393,Derek Watt,LAC,RB,27,16,2,0,0,0,0,7,10,5,3,32,10.67,0,0,0,0,0,10,1,7,32,0,13.2
394,Mo Alie-Cox,IND,TE,26,16,2,0,0,0,0,0,0,11,8,93,11.63,0,0,0,0,0,0,0,0,93,0,17.3
395,Kenjon Barner,ATL,RB,29,14,0,1,1,3,0,4,28,8,6,22,3.67,4,1,3,0,1,28,0,4,22,0,9.12
396,Christian Blake,ATL,WR,23,9,3,0,0,0,0,0,0,24,11,91,8.27,0,0,0,0,0,0,0,0,91,0,20.1
397,Antonio Callaway,CLE,WR,22,4,2,0,0,0,0,0,0,15,8,89,11.13,0,0,0,0,0,0,0,0,89,0,16.9
398,Luke Falk,NYJ,QB,25,3,2,47,73,416,3,0,0,0,0,0,0,2,1,416,0,73,0,0,0,0,0,8.64
399,Robert Foster,BUF,WR,25,13,2,0,0,0,0,2,29,18,3,64,21.33,0,0,0,0,0,29,0,2,64,0,12.3
400,J.P. Holtz,2TM,TE,26,15,7,0,0,0,0,0,0,8,7,91,13,0,0,0,0,0,0,0,0,91,0,16.1
401,D'Ernest Johnson,CLE,RB,23,16,0,0,0,0,0,4,21,7,6,71,11.83,0,0,0,0,0,21,0,4,71,0,15.2
402,Marshawn Lynch,SEA,RB,33,1,0,0,0,0,0,12,34,0,0,0,0,0,0,0,0,0,34,1,12,0,0,9.4
403,Lee Smith,BUF,TE,32,16,5,0,0,0,0,0,0,5,4,31,7.75,0,0,0,0,0,0,0,0,31,1,13.1
404,Alex Armah,CAR,RB,25,16,1,0,0,0,0,6,11,2,2,6,3,0,0,0,0,0,11,1,6,6,0,9.7
405,Nick Bellore,SEA,RB,30,14,1,0,0,0,0,0,0,2,2,23,11.5,0,0,0,0,0,0,0,0,23,1,10.3
406,Ventell Bryant,DAL,WR,23,12,0,0,0,0,0,0,0,1,1,15,15,0,0,0,0,0,0,0,0,15,1,8.5
407,Trey Burton,CHI,TE,28,8,5,0,0,0,0,0,0,24,14,84,6,0,0,0,0,0,0,0,0,84,0,22.4
408,KhaDarel Hodge,CLE,WR,24,16,1,0,0,0,0,0,0,10,4,76,19,0,0,0,0,0,0,0,0,76,0,11.6
409,Trent Sherfield,ARI,WR,23,16,1,0,0,0,0,0,0,13,4,80,20,0,0,0,0,0,0,0,0,80,0,12
410,Damion Willis,CIN,WR,22,10,2,0,0,0,0,0,0,16,9,82,9.11,0,0,0,0,0,0,0,0,82,0,17.2
411,Luke Willson,SEA,TE,29,8,7,0,0,0,0,0,0,10,8,79,9.88,0,0,0,0,0,0,0,0,79,0,15.9
412,Chad Beebe,MIN,WR,25,3,0,0,0,0,0,0,0,2,2,70,35,3,0,0,0,0,0,0,0,70,0,9
413,Blake Bell,KAN,TE,28,15,7,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0,0,0,67,0,14.7
414,Devontae Booker,DEN,RB,27,16,0,0,0,0,0,2,9,9,6,57,9.5,0,0,0,0,0,9,0,2,57,0,12.6
415,Tra Carson,2TM,RB,27,3,1,0,0,0,0,18,48,4,4,18,4.5,0,0,0,0,0,48,0,18,18,0,10.6
416,Cethan Carter,CIN,RB,24,15,0,0,0,0,0,0,0,3,2,13,6.5,0,0,0,0,0,0,0,0,13,1,9.3
417,Chris Hogan,CAR,WR,32,7,1,0,0,0,0,0,0,15,8,67,8.38,0,0,0,0,0,0,0,0,67,0,14.7
418,Troymaine Pope,LAC,RB,26,14,0,0,0,0,0,10,20,3,2,14,7,1,1,0,0,0,20,0,10,14,1,9.4
419,Riley Ridley,CHI,WR,23,5,0,0,0,0,0,0,0,7,6,69,11.5,0,0,0,0,0,0,0,0,69,0,12.9
420,Adam Shaheen,CHI,TE,25,8,2,0,0,0,0,0,0,13,9,74,8.22,1,1,0,0,0,0,0,0,74,0,14.4
421,Durham Smythe,MIA,TE,24,16,14,0,0,0,0,0,0,14,7,65,9.29,0,0,0,0,0,0,0,0,65,0,13.5
422,Geoff Swaim,JAX,TE,26,6,2,0,0,0,0,0,0,17,13,65,5,0,0,0,0,0,0,0,0,65,0,19.5
423,Spencer Ware,KAN,RB,28,3,1,0,0,0,0,17,51,7,5,22,4.4,1,0,0,0,0,51,0,17,22,0,12.3
424,Dwayne Washington,NOR,RB,25,16,0,0,0,0,0,8,60,1,1,6,6,0,0,0,0,0,60,0,8,6,0,7.6
425,Matt Barkley,BUF,QB,29,2,0,27,51,359,3,2,-4,0,0,0,0,3,1,359,0,51,-4,0,2,0,0,5.96
426,Tyler Conklin,MIN,TE,24,15,1,0,0,0,0,0,0,10,8,58,7.25,0,0,0,0,0,0,0,0,58,0,13.8
427,Brett Hundley,ARI,QB,26,3,0,5,11,49,0,7,41,0,0,0,0,0,0,49,0,11,41,0,7,0,0,6.06
428,Tevin Jones,PIT,WR,27,5,0,0,0,0,0,0,0,10,4,61,15.25,0,0,0,0,0,0,0,0,61,0,10.1
429,Chris Lacy,DET,WR,23,7,2,0,0,0,0,0,0,10,3,60,20,0,0,0,0,0,0,0,0,60,0,9
430,Zach Line,NOR,RB,29,12,2,0,0,0,0,7,20,10,6,36,6,0,0,0,0,0,20,0,7,36,0,11.6
431,Andre Patton,LAC,WR,25,13,5,0,0,0,0,0,0,17,6,56,9.33,0,0,0,0,0,0,0,0,56,0,11.6
432,Tyrod Taylor,LAC,QB,30,8,0,4,6,33,0,10,7,1,0,0,0,0,0,33,1,6,7,0,10,0,0,6.02
433,Clive Walford,MIA,TE,28,7,3,0,0,0,0,0,4,8,4,57,14.25,0,0,0,0,0,4,0,0,57,0,10.1
434,Khari Blasingame,TEN,RB,23,6,3,0,0,0,0,0,0,5,4,54,13.5,0,0,0,0,0,0,0,0,54,0,9.4
435,Deontay Burnett,PHI,WR,22,1,1,0,0,0,0,0,0,4,2,48,24,0,0,0,0,0,0,0,0,48,0,6.8
436,Mike Davis,2TM,RB,26,12,1,0,0,0,0,13,27,8,7,22,3.14,0,0,0,0,0,27,0,13,22,0,11.9
437,Patrick DiMarco,BUF,RB,30,16,4,0,0,0,0,3,7,7,5,41,8.2,0,0,0,0,0,7,0,3,41,0,9.8
438,Jon Hilliman,NYG,RB,24,3,1,0,0,0,0,30,91,4,3,1,0.33,2,2,0,0,0,91,0,30,1,0,8.2
439,Alexander Hollins,MIN,WR,23,5,1,0,0,0,0,0,0,4,2,46,23,0,0,0,0,0,0,0,0,46,0,6.6
440,Taiwan Jones,HOU,RB,31,11,0,0,0,0,0,9,40,1,1,9,9,0,0,0,0,0,40,0,9,9,0,5.9
441,Lance Kendricks,LAC,TE,31,12,1,0,0,0,0,0,0,7,3,50,16.67,0,0,0,0,0,0,0,0,50,0,8
442,Devine Ozigbo,JAX,RB,23,10,0,0,0,0,0,9,27,5,3,23,7.67,0,0,0,0,0,27,0,9,23,0,8
443,Elijhaa Penny,NYG,RB,26,16,1,0,0,0,0,15,39,4,2,9,4.5,0,0,0,0,0,39,0,15,9,0,6.8
444,Luke Stocker,ATL,TE,31,15,9,0,0,0,0,0,0,14,8,53,6.63,1,0,0,0,0,0,0,0,53,0,13.3
445,Trevon Wesco,NYJ,TE,24,16,1,0,0,0,0,1,2,3,2,47,23.5,0,0,0,0,0,2,0,1,47,0,6.9
446,DeAndrew White,CAR,WR,28,10,0,0,0,0,0,0,0,9,4,51,12.75,0,0,0,0,0,0,0,0,51,0,9.1
447,Cedrick Wilson,DAL,WR,24,6,0,0,0,0,0,0,0,8,5,46,9.2,0,0,0,0,0,0,0,0,46,0,9.6
448,Deon Yelder,KAN,TE,24,9,1,0,0,0,0,0,0,4,3,50,16.67,0,0,0,0,0,0,0,0,50,0,8
449,C.J. Anderson,DET,RB,28,2,0,0,0,0,0,16,43,0,0,0,0,0,0,0,0,0,43,0,16,0,0,4.3
450,Geremy Davis,LAC,WR,27,7,1,0,0,0,0,0,0,3,3,38,12.67,0,0,0,0,0,0,0,0,38,0,6.8
451,Mike Glennon,OAK,QB,30,2,0,6,10,56,0,2,0,0,0,0,0,3,1,56,1,10,0,0,2,0,0,4.24
452,Colt McCoy,WAS,QB,33,1,1,18,27,122,1,2,14,0,0,0,0,2,0,122,0,27,14,0,2,0,0,4.28
453,Steven Mitchell,HOU,WR,25,3,1,0,0,0,0,0,0,6,2,37,18.5,0,0,0,0,0,0,0,0,37,0,5.7
454,Jason Moore,LAC,WR,24,10,0,0,0,0,0,0,0,5,2,43,21.5,0,0,0,0,0,0,0,0,43,0,6.3
455,Paul Perkins,DET,RB,25,4,0,0,0,0,0,12,29,1,1,9,9,0,0,0,0,0,29,0,12,9,0,4.8
456,Jay Ajayi,PHI,RB,26,3,0,0,0,0,0,10,30,1,0,0,0,0,0,0,0,0,30,0,10,0,0,3
457,Travis Benjamin,LAC,WR,30,5,2,0,0,0,0,0,0,16,6,30,5,0,0,0,0,0,0,0,0,30,0,9
458,C.J. Board,JAX,WR,26,4,0,0,0,0,0,0,0,4,2,31,15.5,0,0,0,0,0,0,0,0,31,0,5.1
459,Pharaoh Brown,CLE,TE,25,9,6,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,0,0,27,0,4.7
460,Cody Core,NYG,WR,25,16,0,0,0,0,0,0,0,5,3,28,9.33,0,0,0,0,0,0,0,0,28,0,5.8
461,Dalyn Dawkins,TEN,RB,25,2,0,0,0,0,0,11,26,1,0,0,0,0,0,0,0,0,26,0,11,0,0,2.6
462,Devin Funchess,IND,WR,25,1,1,0,0,0,0,0,0,5,3,32,10.67,0,0,0,0,0,0,0,0,32,0,6.2
463,Johnny Holton,PIT,WR,28,16,3,0,0,0,0,1,9,15,3,21,7,0,0,0,0,0,9,0,1,21,0,6
464,Tanner Hudson,TAM,TE,25,9,1,0,0,0,0,0,0,5,2,26,13,0,0,0,0,0,0,0,0,26,0,4.6
465,Ishmael Hyman,TAM,WR,24,2,1,0,0,0,0,0,0,4,2,34,17,0,0,0,0,0,0,0,0,34,0,5.4
466,Jordan Matthews,2TM,WR,27,3,1,0,0,0,0,0,0,12,4,33,8.25,0,0,0,0,0,0,0,0,33,0,7.3
467,Codey McElroy,TAM,WR,27,1,0,0,0,0,0,0,0,1,1,30,30,0,0,0,0,0,0,0,0,30,0,4
468,Johnny Mundt,LAR,TE,25,13,2,0,0,0,0,0,0,7,4,26,6.5,0,0,0,0,0,0,0,0,26,0,6.6
469,Andre Roberts,BUF,WR,31,13,0,0,0,0,0,1,7,7,3,20,6.67,1,0,0,0,0,7,0,1,20,0,5.7
470,Drew Sample,CIN,TE,23,9,2,0,0,0,0,0,0,6,5,30,6,0,0,0,0,0,0,0,0,30,0,8
471,Da'Mari Scott,NYG,WR,24,5,2,0,0,0,0,1,5,3,2,22,11,0,0,0,0,0,5,0,1,22,0,4.7
472,Russell Shepard,NYG,WR,29,3,0,0,0,0,0,0,0,8,3,25,8.33,0,0,0,0,0,0,0,0,25,0,5.5
473,Anthony Sherman,KAN,RB,31,16,0,0,0,0,0,4,9,3,2,22,11,0,0,0,0,0,9,0,4,22,0,5.1
474,Cam Sims,WAS,WR,23,7,1,0,0,0,0,0,0,3,2,27,13.5,0,0,0,0,0,0,0,0,27,0,4.7
475,Ryan Switzer,PIT,WR,25,9,0,0,0,0,0,0,0,11,8,27,3.38,1,0,0,0,0,0,0,0,27,0,10.7
476,Ross Travis,IND,TE,26,3,1,0,0,0,0,0,0,6,4,51,12.75,1,1,0,0,0,0,0,0,51,0,7.1
477,Nick Bawden,DET,RB,23,10,2,0,0,0,0,0,0,6,4,17,4.25,0,0,0,0,0,0,0,0,17,0,5.7
478,Josh Bellamy,NYJ,WR,30,7,0,0,0,0,0,0,0,3,2,20,10,0,0,0,0,0,0,0,0,20,0,4
479,Fred Brown,DEN,WR,26,13,1,0,0,0,0,0,0,3,2,21,10.5,1,0,0,0,0,0,0,0,21,0,4.1
480,Michael Crabtree,ARI,WR,32,2,1,0,0,0,0,0,0,5,4,22,5.5,0,0,0,0,0,0,0,0,22,0,6.2
481,Rashard Davis,TEN,WR,25,1,0,0,0,0,0,0,0,1,1,16,16,0,0,0,0,0,0,0,0,16,0,2.6
482,Robert Davis,2TM,WR,24,6,3,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
483,Ashton Dulin,IND,WR,22,13,0,0,0,0,0,0,0,2,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
484,Tyler Ervin,2TM,RB,26,10,0,0,0,0,0,1,10,4,2,11,5.5,2,0,0,0,0,10,0,1,11,0,4.1
485,Darius Jennings,TEN,WR,27,8,0,0,0,0,0,0,0,5,2,17,8.5,0,0,0,0,0,0,0,0,17,0,3.7
486,Marqise Lee,JAX,WR,28,6,1,0,0,0,0,1,1,4,3,18,6,0,0,0,0,0,1,0,1,18,0,4.9
487,T.J. Logan,TAM,RB,25,12,0,0,0,0,0,3,10,3,2,13,6.5,0,0,0,0,0,10,0,3,13,0,4.3
488,Donte Moncrief,2TM,WR,26,8,2,0,0,0,0,0,0,15,4,18,4.5,0,0,0,0,0,0,0,0,18,0,5.8
489,Chris Moore,BAL,WR,26,14,1,0,0,0,0,1,0,5,3,21,7,0,0,0,0,0,0,0,1,21,0,5.1
490,Stanley Morgan,CIN,WR,23,11,0,0,0,0,0,0,0,10,3,18,6,0,0,0,0,0,0,0,0,18,0,4.8
491,Josh Oliver,JAX,TE,22,4,1,0,0,0,0,0,0,6,3,15,5,0,0,0,0,0,0,0,0,15,0,4.5
492,Samaje Perine,2TM,RB,24,7,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,16,0,5,0,0,1.6
493,Eric Saubert,CHI,TE,25,2,0,0,0,0,0,0,0,3,2,21,10.5,0,0,0,0,0,0,0,0,21,0,4.1
494,Keith Smith,ATL,RB,27,16,5,0,0,0,0,5,8,3,1,13,13,0,0,0,0,0,8,0,5,13,0,3.1
495,Diontae Spencer,DEN,WR,27,16,2,0,0,0,0,3,6,8,6,31,5.17,3,1,0,0,0,6,0,3,31,0,7.7
496,Bobo Wilson,TAM,WR,24,6,1,0,0,0,0,0,0,11,3,35,11.67,3,1,0,0,0,0,0,0,35,0,4.5
497,Zach Zenner,3TM,RB,28,5,0,0,0,0,0,3,-2,3,2,19,9.5,0,0,0,0,0,-2,0,3,19,0,3.7
498,Josh Adams,NYJ,RB,23,3,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,12,0,8,0,0,1.2
499,Antony Auclair,TAM,TE,26,8,5,0,0,0,0,0,0,3,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
500,Tony Brooks-James,PIT,RB,25,3,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0.7
501,Austin Carr,NOR,WR,26,6,3,0,0,0,0,0,0,4,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
502,Sean Culkin,LAC,TE,26,4,2,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
503,Josh Ferguson,WAS,RB,26,2,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0.9
504,John Franklin,TAM,WR,25,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1.1
505,Ryan Grant,OAK,WR,29,2,1,0,0,0,0,0,0,9,4,14,3.5,0,0,0,0,0,0,0,0,14,0,5.4
506,Will Grier,CAR,QB,24,2,2,28,52,228,4,7,22,0,0,0,0,1,1,228,0,52,22,0,7,0,0,1.32
507,Ryan Griffin,TAM,QB,30,2,0,2,4,18,0,4,-1,0,0,0,0,0,0,18,0,4,-1,0,4,0,0,0.62
508,Damien Harris,NWE,RB,22,2,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,12,0,4,0,0,1.2
509,Dwayne Harris,OAK,WR,32,3,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
510,Chris Herndon,NYJ,TE,23,1,0,0,0,0,0,0,0,2,1,7,7,0,0,0,0,0,0,0,0,7,0,1.7
511,Cody Hollister,TEN,WR,26,5,0,0,0,0,0,0,0,2,2,13,6.5,0,0,0,0,0,0,0,0,13,0,3.3
512,Buddy Howell,HOU,RB,23,16,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,10,0,5,0,0,1
513,Jakob Johnson,NWE,RB,25,4,3,0,0,0,0,0,0,2,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
514,Charles Jones,JAX,TE,23,4,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
515,John Kelly,LAR,RB,23,4,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0.9
516,Ben Koyack,JAX,TE,26,11,6,0,0,0,0,0,0,3,1,9,9,0,0,0,0,0,0,0,0,9,0,1.9
517,Chris Manhertz,CAR,TE,27,15,6,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
518,Josh McCown,PHI,QB,40,3,0,3,5,24,0,2,-2,0,0,0,0,0,0,24,0,5,-2,0,2,0,0,0.76
519,Ryan Nall,CHI,RB,24,8,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0.8
520,Isaac Nauta,DET,TE,22,6,0,0,0,0,0,0,0,3,2,13,6.5,0,0,0,0,0,0,0,0,13,0,3.3
521,Gunner Olszewski,NWE,WR,23,8,0,0,0,0,0,0,0,4,2,34,17,1,1,0,0,0,0,0,0,34,0,3.4
522,Ricky Ortiz,NOR,RB,25,1,0,0,0,0,0,0,0,1,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
523,Jordan Scarlett,CAR,RB,23,9,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0.9
524,Dalton Schultz,DAL,TE,23,16,0,0,0,0,0,0,0,2,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
525,Jaleel Scott,BAL,WR,24,3,0,0,0,0,0,0,0,3,1,6,6,0,0,0,0,0,0,0,0,6,0,1.6
526,Scott Simonson,NYG,TE,27,5,1,0,0,0,0,0,0,2,2,11,5.5,0,0,0,0,0,0,0,0,11,0,3.1
527,Jeff Smith,NYJ,WR,22,1,0,0,0,0,0,0,0,2,1,12,12,0,0,0,0,0,0,0,0,12,0,2.2
528,Tyrone Swoopes,SEA,TE,25,5,2,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,5,0,1.5
529,De'Anthony Thomas,2TM,WR,26,14,0,0,0,0,0,2,5,2,1,6,6,3,0,0,0,0,5,0,2,6,0,2.1
530,Jordan Thomas,HOU,TE,23,5,2,0,0,0,0,0,0,3,1,8,8,0,0,0,0,0,0,0,0,8,0,1.8
531,Mike Thomas,LAR,WR,25,16,0,0,0,0,0,0,0,5,2,14,7,0,0,0,0,0,0,0,0,14,0,3.4
532,Levine Toilolo,SFO,TE,28,13,0,0,0,0,0,0,0,2,2,10,5,0,0,0,0,0,0,0,0,10,0,3
533,De'Lance Turner,MIA,RB,24,8,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0.6
534,John Ursua,SEA,WR,25,3,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,11,0,2.1
535,Dexter Williams,GNB,RB,22,4,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,11,0,5,0,0,1.1
536,Jerell Adams,HOU,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Stephen Anderson,LAC,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Evan Baylis,GNB,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,Kendall Blanton,LAR,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Tim Boyle,GNB,QB,25,3,0,3,4,15,0,5,-7,0,0,0,0,0,0,15,0,4,-7,0,5,0,0,-0.1
541,Deante Burton,DAL,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Trenton Cannon,NYJ,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Garrett Celek,SFO,0,31,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Jordan Chunn,DAL,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Chandler Cox,MIA,0,23,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,River Cracraft,DEN,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Jerome Cunningham,WAS,0,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Darrell Daniels,ARI,TE,25,11,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
549,Davion Davis,MIN,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,James Develin,NWE,RB,31,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0.3
551,Garrett Dickerson,NYG,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Gehrig Dieter,KAN,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Brandon Dillon,MIN,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Josh Doctson,MIN,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Quinton Dunbar,WAS,0,27,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Alex Ellis,PHI,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,David Fales,NYJ,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,David Fluellen,TEN,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,D.J. Foster,ARI,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,Travis Fulgham,DET,0,24,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Zach Gentry,PIT,TE,23,4,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
562,Garrett Gilbert,CLE,QB,28,5,0,0,3,0,0,3,-3,0,0,0,0,0,0,0,0,3,-3,0,3,0,0,-0.3
563,Cullen Gillaspia,HOU,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,C.J. Goodwin,DAL,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,Cyril Grayson,TAM,WR,26,2,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
566,Xavier Grimble,PIT,TE,27,3,1,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,0,3,0,1.3
567,Jalen Guyton,LAC,0,22,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,Justin Hardee,NOR,0,25,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Clark Harris,CIN,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,Krishawn Hogan,NOR,WR,24,8,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,4,0,1.4
571,Lil'Jordan Humphrey,NOR,0,21,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Trenton Irwin,CIN,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Gary Jennings,MIA,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,Tom Kennedy,DET,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Darvin Kidsy,WAS,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,Keith Kirkwood,NOR,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Matt Lengel,IND,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Josh Malone,NYJ,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Jeremy McNichols,JAX,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Trace McSorley,BAL,QB,24,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.1
581,Carson Meier,ATL,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Jaydon Mickens,TAM,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Alfred Morris,ARI,RB,31,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0.4
584,Nick Mullens,SFO,QB,24,1,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,-3,0,3,0,0,-0.3
585,Jojo Natson,LAR,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Roosevelt Nix,PIT,RB,27,3,0,0,0,0,0,0,0,3,2,4,2,0,0,0,0,0,0,0,0,4,0,2.4
587,Jamize Olawale,DAL,0,30,16,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,Matthew Orzech,JAX,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Senorise Perry,BUF,RB,28,11,0,0,0,0,0,3,3,1,1,1,1,0,0,0,0,0,3,0,3,1,0,1.4
590,Craig Reynolds,WAS,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,Richard Rodgers,PHI,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,Cooper Rush,DAL,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Spencer Schnell,TAM,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Mason Schreck,CIN,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,Trevor Siemian,NYJ,QB,28,1,1,3,6,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0.12
